label,fc_f_min_mean,fc_f_min_std,fc_t_min_mean,fc_t_min_std,altitude_mean,cmd_joint1_pitch,meas_joint1_pitch,cmd_joint1_yaw,meas_joint1_yaw,cmd_joint2_pitch,meas_joint2_pitch,cmd_joint2_yaw,meas_joint2_yaw,cmd_joint3_pitch,meas_joint3_pitch,cmd_joint3_yaw,meas_joint3_yaw
grid_0000,2.448628078872083,1.1761898274473064,0.6840565955855177,0.4148793886870551,0.9609394979456484,-0.6,-0.6114598277193135,0.0,-0.009695131710238059,-0.6,-0.6163438299392849,0.0,0.009233259239137759,-0.6,-0.5974860717453145,0.0,0.01365868313039087
grid_0001,-0.10212184239914615,0.5346321745688329,1.2057353801070527,0.10136140873478121,0.9969547740350804,-0.6,-0.6118369558025991,0.0,-0.008854833680927321,-0.6,-0.6213901734748966,0.0,0.010550788774622788,-0.6,-0.603935775956586,0.5235987755982988,0.52979282475183
grid_0002,0.1627648716873566,0.327179126240857,0.9975944922265505,0.21885757100642497,1.0095236081407848,-0.6,-0.6052569279986635,0.0,0.007478044828558517,-0.6,-0.6063537598131115,0.0,0.008846591274062732,-0.6,-0.5989527859032906,1.0471975511965976,1.0343588941567115
grid_0003,0.18414371234836105,0.36987845144263004,1.350300349134948,0.09608134521815463,1.0056814671624645,-0.6,-0.6037091966609589,0.0,0.009426015871325966,-0.6,-0.6003878613652809,0.0,0.009709731758739792,-0.6,-0.5954509739242031,1.5707963267948966,1.5537507549282816
grid_0004,0.06712849705543311,0.6682212885194618,1.152013741225665,0.1781459032321084,1.0033417227442492,-0.6,-0.599490615003643,0.0,0.009640885671238664,-0.6,-0.5960566064456208,0.0,0.009659826201379396,-0.2,-0.19686840702863329,1.5707963267948966,1.5589191562697255
grid_0005,0.3081884079988949,0.398691295617171,1.208037959107372,0.10478700120149123,0.9907894998346144,-0.6,-0.6024294273447275,0.0,0.007405458204183368,-0.6,-0.6033590603649497,0.0,0.008936350219320488,-0.2,-0.20165431756289554,1.0471975511965976,1.0400202330102974
grid_0006,0.5706233642699463,0.5856645065720274,0.9246918040120656,0.20389018855048036,0.9982034423892501,-0.6,-0.6039003251967046,0.0,-0.002251178603756898,-0.6,-0.6073599710579742,0.0,0.012960445107800034,-0.2,-0.20025158970373624,0.5235987755982988,0.5295051568704281
grid_0007,2.118807513190616,0.6277375077167807,1.0655828740208417,0.019126764890922545,1.0016864037966027,-0.6,-0.6114869485939778,0.0,-0.009475886549252799,-0.6,-0.6282514220763886,0.0,0.011768751579931624,-0.2,-0.21506579765505762,0.0,0.014687639612509962
grid_0008,3.0173855093945017,1.1277997434810119,0.9168372751930187,0.03869201295677723,1.0056613137268828,-0.6,-0.6285735436952908,0.0,-0.004128760404035425,-0.6,-0.6411564178499107,0.0,0.019649389706403397,0.19999999999999996,0.17841440474476755,0.0,0.01884740828865361
grid_0009,0.14325559470756757,0.5400154319641701,0.7754257714999261,0.05873305684571003,1.0002285581181867,-0.6,-0.6138374145395922,0.0,-0.0005595359908827646,-0.6,-0.622873857803981,0.0,0.026256410312331724,0.19999999999999996,0.18830541494719633,0.5235987755982988,0.5433745191521959
grid_0010,0.25754145775843745,0.5560127110723371,1.1158773263083268,0.22546499583083565,1.0016112251640736,-0.6,-0.6046520015962216,0.0,0.0092241795625716,-0.6,-0.6071007725769473,0.0,0.010126567602743997,0.19999999999999996,0.1945296693874452,1.0471975511965976,1.0439109410894734
grid_0011,-0.12176410076314155,0.6553486189739627,1.2010291400887074,0.20744945072499343,1.007390279371793,-0.6,-0.5987530729896688,0.0,0.009916386534437827,-0.6,-0.5934185642866456,0.0,0.00898849646855826,0.19999999999999996,0.20371780058365552,1.5707963267948966,1.5642652850208876
grid_0012,0.06341675624632634,0.36965329988589085,1.4019903553759605,0.07517747592265313,1.0006741256864675,-0.6,-0.5989330712253258,0.0,0.009625049498688476,-0.6,-0.5941092772003556,0.0,0.00796393295444986,0.6,0.6023993009095117,1.5707963267948966,1.568536478316343
grid_0013,-0.21265197291778165,0.4949207087193991,1.3916172896553891,0.10358361847175974,1.0049321887812257,-0.6,-0.6035270999694644,0.0,0.010602403587065545,-0.6,-0.6033426505972344,0.0,0.010826025105307835,0.6,0.5956850497027677,1.0471975511965976,1.0489554384701822
grid_0014,1.5010871483682962,1.4511233694904195,0.24035787185158258,0.17228667186106952,0.9973456202891213,-0.6,-0.5973554648979551,0.0,0.002822439868044313,-0.6,-0.588411169648837,0.0,0.023580219856341067,0.6,0.6053655899528412,0.5235987755982988,0.5414130167530855
grid_0015,3.390486900341945,3.1262531143073935,0.41913203465588145,0.03316026264406862,0.9973062740540325,-0.6,-0.6368779276924341,0.0,0.006200260499738874,-0.6,-0.6648200124250083,0.0,0.058947756541599894,0.6,0.5779448047403672,0.0,0.049488243818414546
grid_0016,1.7159744399630683,0.7486724872015432,0.4862101167517511,0.5332925824493173,0.9907889274839924,-0.6,-0.6054321097399686,0.0,0.00583624924753412,-0.6,-0.6040097380272407,0.5235987755982988,0.5306551372859749,0.6,0.5895568888395104,0.0,0.0008797716861295157
grid_0017,0.48544175845007215,0.7288213443826987,0.8047344463135729,0.2076354922610229,1.0011238548175565,-0.6,-0.5985167091768915,0.0,0.007433873426350601,-0.6,-0.5955559411790965,0.5235987755982988,0.5303959030317777,0.6,0.5933977384091342,0.5235987755982988,0.5234294365115852
grid_0018,0.4458471255328579,0.2299605671573534,0.6721780467466985,0.14982959469596868,1.0036509290478042,-0.6,-0.5961524736580355,0.0,0.006104418952988411,-0.6,-0.5894788793894001,0.5235987755982988,0.5272978083993536,0.6,0.5985059658049412,1.0471975511965976,1.0461069796588864
grid_0019,0.41365632502434113,0.602128510133478,0.607298944796814,0.16593874482112134,0.9966726992988152,-0.6,-0.5956698906621511,0.0,0.0064671002276384115,-0.6,-0.5875443361581558,0.5235987755982988,0.5264665093506293,0.6,0.6025003270641074,1.5707963267948966,1.5690070031194985
grid_0020,0.07265621584126791,0.43838520828423655,0.8706579599766389,0.11182982501695636,0.9965228339742829,-0.6,-0.5962801415461616,0.0,0.0070355361205933775,-0.6,-0.5897463116038999,0.5235987755982988,0.528883818992619,0.19999999999999996,0.20406318530640633,1.5707963267948966,1.5646574786298801
grid_0021,0.2764248659774676,0.7174377624373808,0.742928168171688,0.14585595708045357,1.0026540726266837,-0.6,-0.5960084481825891,0.0,0.006378518918083387,-0.6,-0.5922816287471147,0.5235987755982988,0.5299488054881714,0.19999999999999996,0.19785332950426682,1.0471975511965976,1.0407859010818754
grid_0022,0.5759512689972891,0.7582642114699822,1.0390305607961707,0.2565382033934074,0.993401729259977,-0.6,-0.5993465529612791,0.0,0.007141652725076497,-0.6,-0.5979831512348461,0.5235987755982988,0.5310201598585431,0.19999999999999996,0.19146881657460302,0.5235987755982988,0.5219306816707201
grid_0023,-0.09878326533522412,0.5378453266363555,1.043380024574219,0.08482177490480257,1.004595378120147,-0.6,-0.6032259582835335,0.0,0.005224095455290012,-0.6,-0.6071892798933813,0.5235987755982988,0.5302693312114624,0.19999999999999996,0.1881801226562434,0.0,0.0005653061618318134
grid_0024,0.5581709186694805,0.5452212169254597,0.9585577423752237,0.07014712445438202,0.993294821554484,-0.6,-0.6027442996065169,0.0,0.004766286215387439,-0.6,-0.6045498499210389,0.5235987755982988,0.5290643505174835,-0.2,-0.2047504571665657,0.0,0.0007851572246426741
grid_0025,0.822875855024831,0.36178152351905474,1.1723709057367784,0.28394831950670535,1.0036166906628783,-0.6,-0.598416794900011,0.0,0.006355131685006121,-0.6,-0.5974715753673996,0.5235987755982988,0.5300548003611274,-0.2,-0.20369585294078174,0.5235987755982988,0.5176379443378893
grid_0026,0.6521341186042094,0.5019080977183867,0.9774170028067806,0.25861669832264844,1.004980095043809,-0.6,-0.5970397104015683,0.0,0.006259891164651421,-0.6,-0.5917521233085843,0.5235987755982988,0.5290019092479703,-0.2,-0.19870590119822218,1.0471975511965976,1.03829428047103
grid_0027,0.11997432966041055,0.3186192307368572,0.779906018295853,0.23712444680505015,1.0019860935585339,-0.6,-0.5957391459975252,0.0,0.006327018549066921,-0.6,-0.5882751378071465,0.5235987755982988,0.5284557233259992,-0.2,-0.19539975866320436,1.5707963267948966,1.560721682342007
grid_0028,0.024186276844407283,0.6000994918968553,0.722531535190855,0.24805820977547385,0.9997654383054414,-0.6,-0.5964844581582938,0.0,0.005463985639428515,-0.6,-0.5857399931765483,0.5235987755982988,0.5279998697982018,-0.6,-0.5952970619300251,1.5707963267948966,1.5512273650135606
grid_0029,0.3818411092083045,0.7072963463760179,1.0493022904587428,0.2106208860850725,0.9962833160984907,-0.6,-0.5971305297384353,0.0,0.005739344393292711,-0.6,-0.5925610426553556,0.5235987755982988,0.5285206997626979,-0.6,-0.5965140914217599,1.0471975511965976,1.0323556993650564
grid_0030,0.3201483932439585,0.5503744464737309,0.5581918926666395,0.26239758224723386,1.00076049745813,-0.6,-0.5991141413411318,0.0,0.004094334933131272,-0.6,-0.5959864034394089,0.5235987755982988,0.5264815726528109,-0.6,-0.5982030238223235,0.5235987755982988,0.516143366496328
grid_0031,-0.15807507121634365,0.5839300901010586,0.7879300523036536,0.24751235467162602,0.995043373586158,-0.6,-0.6027738788418073,0.0,0.0034299489806972616,-0.6,-0.6040833336032545,0.5235987755982988,0.5286318243573529,-0.6,-0.5981757758560846,0.0,0.0006001519069549488
grid_0032,0.2912667513038302,0.3603028429864015,0.7191773483122577,0.3845807615655856,1.0003125228756626,-0.6,-0.5987689886170298,0.0,0.0030057964412923965,-0.6,-0.5969595220837887,1.0471975511965976,1.0493349981750582,-0.6,-0.5987359912774126,0.0,-0.0017483038481946878
grid_0033,-0.1436600180443079,0.6939116318896286,0.5490422372417038,0.3510097739986433,1.0031126857236914,-0.6,-0.5973048835733854,0.0,0.00310030026165542,-0.6,-0.5915086540724532,1.0471975511965976,1.0482891734710034,-0.6,-0.5979141090254672,0.5235987755982988,0.5136259631238165
grid_0034,-0.4792316664393007,0.5230646265856939,0.49699406988982764,0.17106680364767227,1.0057828853960464,-0.6,-0.5948032323785082,0.0,0.003793066406619694,-0.6,-0.5839627663537303,1.0471975511965976,1.049858437294839,-0.6,-0.5968150292322179,1.0471975511965976,1.0333096831910975
grid_0035,-0.5318324206010873,0.4427006802106182,0.38708109610700814,0.15757650830801773,1.0032907254609238,-0.6,-0.5944056774618698,0.0,0.0037592338514160772,-0.6,-0.5840970647037631,1.0471975511965976,1.0522971496401095,-0.6,-0.5969006916283659,1.5707963267948966,1.5588007356759839
grid_0036,-0.13666524584893905,0.39755184174303243,0.20579684306568263,0.147911848828117,1.0101727572439945,-0.6,-0.5947136796113135,0.0,0.00398199338190075,-0.6,-0.5853807921070047,1.0471975511965976,1.0513732503472148,-0.2,-0.19599822611772755,1.5707963267948966,1.5657330165352379
